Title,puplished_date,views,likes,favorites,month,year
DÜNYANIN EN UZUN BIYIK TASARIMI!! & THE WORLD'S LONGEST MUSTACHE DESİGN,2022-05-22 09:00:25+00:00,49628,951,0,May,2022
Bazen tercihin doğru olur 😳💈,2022-05-17 16:11:20+00:00,328285,10030,0,May,2022
Bazen gidemezsin 😳💈,2022-05-15 15:28:28+00:00,136626,6768,0,May,2022
Bazen Spiderman 😳💈,2022-05-14 12:40:33+00:00,70469,3892,0,May,2022
Bazen derdine derman olursun😳💈,2022-05-11 18:06:53+00:00,100447,5445,0,May,2022
Bazen bunu yaşarsın 🥺💈,2022-05-10 18:07:27+00:00,81400,3213,0,May,2022
Bazen havalı 😳💈,2022-05-09 14:27:31+00:00,79353,4033,0,May,2022
AĞDANIN KILLA İMTİHANI ! (ŞAŞIRTAN DEĞİŞİM) | EVEN WAX DIDN'T HELP HIM ?! (AMAZING CHANGE),2022-05-08 09:00:04+00:00,147659,2551,0,May,2022
Bazen işler kesattır 😳💈,2022-05-07 17:26:44+00:00,68983,2249,0,May,2022
Bazen gizem yüklersin 😳💈,2022-05-05 15:44:57+00:00,95942,4017,0,May,2022
Bazen paylaşmaya kıyamazsın 😳💈,2022-05-03 14:31:04+00:00,361353,22160,0,May,2022
SOKAK ADAMINA BAYRAM HEDİYESİ (İNANILMAZ DEĞİŞİM) | HOLIDAY GIFT TO HOMELESS MAN (AMAZING CHANGE),2022-05-01 09:00:26+00:00,193302,4579,0,May,2022
Bazen uzundan kısaya 😳💈,2022-04-30 15:22:07+00:00,256279,18577,0,Apr,2022
Bazen karıştırırsın 😳💈,2022-04-28 18:17:25+00:00,10165087,449430,0,Apr,2022
İNGİLİZ GEZGİNİN BERBER MOLASI (BUNA İHTİYACI VARDI) | BRITISH TRAVELER'S BARBER BREAK (NEEDED THIS),2022-04-27 15:21:23+00:00,73612,1115,0,Apr,2022
SAÇ RENGİNE KENDİ BİLE ŞAŞIRDI ! | EVEN HE WAS SURPRISED BY THE COLOR OF HAIR !,2022-04-24 09:00:24+00:00,45079,710,0,Apr,2022
ZENGİN İŞ ADAMININ MUHTEŞEM DEĞİŞİMİ | THE MAGNIFICENT CHANGE OF A BUSINESSMAN,2022-04-20 15:00:27+00:00,94759,1301,0,Apr,2022
Bazen boyanın doğal durmasını istersin😳💈,2022-04-18 16:26:25+00:00,169538,5803,0,Apr,2022
JİLET GİBİ SAÇLARINI TARAK GİREMEZ HALE GETİRDİK | HOW TO MAKE A PERM ?,2022-04-17 09:30:04+00:00,73606,1032,0,Apr,2022
Bazen değişiklik istersin 😳💈,2022-04-14 15:46:28+00:00,23376849,1585268,0,Apr,2022
💈ASMR BARBER💈 | 30 YILLIK MAKASLA TRAŞ | WE SHAVED HIM 30 YEARS OLD SCISSORS,2022-04-13 15:45:01+00:00,57234,868,0,Apr,2022
Bazen bağlarsın 😳💈,2022-04-12 17:32:34+00:00,212192,11227,0,Apr,2022
💈ASMR 💈EVSİZ ADAMIN MANKENLERİ ARATMAYAN DÖNÜŞÜMÜ |  HOMELESS MAN BECAME A MODEL AFTER THE SHAVE,2022-04-10 09:00:11+00:00,77010,1463,0,Apr,2022
Bazen tek Tıraşta 3 Farklı Model çıkartırsın 😳💈,2022-04-07 15:19:25+00:00,227840,10173,0,Apr,2022
KIRMIZI TARAĞIN MUCİZESİ ! | THE MIRACLE OF THE RED COMB !,2022-04-06 16:00:11+00:00,43446,889,0,Apr,2022
Bazen tıraşı gösteren fönüdür 😳💈,2022-04-04 22:31:48+00:00,153414,6617,0,Apr,2022
DÜNYADAKİ EN KIVIRCIK SAÇI DÜMDÜZ YAPTIK ! | THE BIGGEST CURLY HAIR ON THE WORLD !,2022-04-03 09:00:17+00:00,169270,2178,0,Apr,2022
Bazen ritime ayak uydurursun 😳💈,2022-03-31 13:15:01+00:00,183778,5814,0,Mar,2022
BAZEN ESKİ SAÇLARINI YENİLERSİN | WE RENEWED HIS HAIRS,2022-03-30 15:00:12+00:00,34697,839,0,Mar,2022
Bazen gerilirsin...😳💈,2022-03-29 17:14:32+00:00,2071000,26204,0,Mar,2022
Bazen güncellersin 😳💈,2022-03-27 19:43:18+00:00,1629264,95432,0,Mar,2022
KAĞIT TOPLAYAN ÇOCUKLARIN İNANILMAZ DEĞİŞİMİ ! (ÇOK EĞLENDİLER) | AMAZING CHANGE OF REFUGEE KIDS !,2022-03-25 15:00:00+00:00,222866,6194,0,Mar,2022
ASMR BARBER | ÇIĞIRINDAN ÇIKMIŞ SAÇLARI KONTROL ALTINA ALDIK! | WE TAKE UNDER CONTROL HIS MESSY HAIR,2022-03-23 15:00:01+00:00,135194,2015,0,Mar,2022
Bazen platin’e düşersin 😳💈,2022-03-21 10:49:51+00:00,5728350,303249,0,Mar,2022
"ASMR BARBER💈 | ÇEKİRDEK AİLE BABASIYDI, MAFYA BABASI OLDU | HE WAS A FAMILY MAN, BECOME A GODFATHER",2022-03-20 09:00:18+00:00,2563009,27179,0,Mar,2022
Bazen ne olduğunu anlamazsın 😳💈,2022-03-17 12:30:30+00:00,1178932,22609,0,Mar,2022
BERBER KENDİNDEN UZUN SAKAL GÖRÜNCE DAYANAMADI ! | BARBER CAN'T RESIST THE LONG BEARD FROM HIS OWN !,2022-03-16 15:02:45+00:00,47468,808,0,Mar,2022
PASLI KOYUN KIRKMA MAKASIYLA SAÇ KESTİK!! & WE SHAVED HAIR WITH RUSTY SHEARS FROM 1987 / ASMR💈,2022-03-13 09:00:05+00:00,101206,1810,0,Mar,2022
Bazen Podolski gözüyle bakarsın 💈😁 @poldi_official,2022-03-11 19:04:07+00:00,354238,8760,0,Mar,2022
ASMR BARBER | SAÇLARIYLA İLGİLİ HİÇBİR FİKRİ YOKTU (SONUCUNA İNANAMADI) ! | HE SHOCKED THE RESULT !,2022-03-09 15:08:04+00:00,285497,4136,0,Mar,2022
"💈 FIRÇA BIYIKLIYDI, KAYTAN BIYIKLI OLDU | HE HAD BRUSH MOUSTACHE, TURNS OUT IMPERIAL MOUSTACHE 💈",2022-03-06 09:00:01+00:00,39809,771,0,Mar,2022
Bazen nostaljik kestirirsin 😳💈,2022-03-04 15:44:57+00:00,543435,26367,0,Mar,2022
ASMR BARBER | SAKALI'NIN ALTINDAN MADEN ÇIKTI ! (İNANILMAZ DEĞİŞİM) | OLD MAN'S INCREDIBLE CHANGE !,2022-03-03 15:00:16+00:00,2536767,7363,0,Mar,2022
Bazen çizdirirsin! 😳💈,2022-03-03 06:44:21+00:00,191584,4904,0,Mar,2022
Bazen yanlardan al üstler kalsın..!😳💈,2022-02-28 15:50:19+00:00,18466863,835096,0,Feb,2022
Bazen şekil verirsin 😳💈,2022-02-26 08:47:37+00:00,1983879,33156,0,Feb,2022
ASMR | BAKIMSIZ SAÇ SAKAL TEMİZİLİĞİ (YEŞİLÇAM ARTİSTİ GİBİ OLDU) HE BECAME A MOVIE STAR,2022-02-25 15:03:00+00:00,317640,4685,0,Feb,2022
İşitme Engelli Kardeşimize Yoğun Bakım (Yüzünden Çıkanlara İnanamayacaksınız) SKIN CARE FOR DEAF KID,2022-02-22 15:00:11+00:00,550919,6981,0,Feb,2022
Bazen Fön Çekme Derdin Kalmaz 😉💈,2022-02-19 14:25:38+00:00,37911107,1857637,0,Feb,2022
ASMR BARBER | DARMADAĞINDI TERTEMİZ OLDU / HE HAD MESSY HAIR BEFORE THE SHAVE,2022-02-18 15:00:15+00:00,83160,1258,0,Feb,2022
Bazen saçların kıvrılır!!?,2022-02-12 21:20:31+00:00,48035845,2463591,0,Feb,2022
CHANGE of SUICIDAL MAN'S COFFEE SHOP and HIMSELF!  -  İNTİHARIN EŞİĞİNDEKİ ADAMIN DÖNÜŞÜMÜ!,2022-02-09 20:00:17+00:00,28489,978,0,Feb,2022
Bazen eğlenceli kesersin!!,2022-02-05 15:16:34+00:00,134843,6999,0,Feb,2022
ÇÖP KENARINDA EKMEK YİYEN ADAMIN DÖNÜŞÜMÜ & TRANSFORMATION OF THE MAN EATING BREAD BY THE WASTE SIDE,2022-01-26 14:00:33+00:00,1559735,27489,0,Jan,2022
BU ÇOCUK ÇILDIRMIŞ!! KENDİ SAÇI ÜZERİNDE HERŞEYİ DENEDİ? & HE TRIED EVERYTHING ON HIS HAIR,2022-01-15 18:03:36+00:00,41664,860,0,Jan,2022
SEYREK SAÇLI DAYIMIZA SİHİRLİ BİR DOKUNUŞ / RESMEN 20 YAŞ FARKETTİ & HAIR HAS INCREASED,2021-12-31 09:00:00+00:00,52452,1045,0,Dec,2021
SOKAKLARIN BABASINI NOEL BABA YAPTIK!!? /Çocuklar Çok Şaşırdı! & WE MADE THE STREET MAN SANTA FATHER,2021-12-29 09:00:14+00:00,241078,4215,0,Dec,2021
HAYATINI ÇUVALA SIĞDIRAN ADAMIN BÜYÜK DEĞİŞİMİ!!? (SAÇLAR RESMEN KÜF TUTMUŞ) & LIFE IN THE BAG,2021-12-20 09:00:13+00:00,6730092,84209,0,Dec,2021
"SOKAK ÇOCUĞU GİBİ GELDİ FUTBOLCU GİBİ GİTTİ!! & CAME LIKE A STREET CHILD, LEFT LIKE A FOOTBALLER",2021-12-09 20:30:00+00:00,439388,6378,0,Dec,2021
SERT BAŞLAYAN TIRAŞ MUTLU SONLA BİTTİ!! & SHAVE THAT STARTS HARD WITH A HAPPY END,2021-11-27 15:26:22+00:00,44852,861,0,Nov,2021
KATERİNA SAÇLARIMA MAKAS ATTI!! & KATERINA CUT MY HAIRS,2021-11-19 16:20:01+00:00,183529,2487,0,Nov,2021
EVSİZ ADAM TIRAŞTAN SONRA İTALYAN MANKENİ GİBİ OLDU!! & HOMELESS MAN WAS LIKE ITALIANS AFTER SHAVING,2021-11-12 17:45:22+00:00,14112321,205675,0,Nov,2021
BELARUSTAN GELEN KADIN ÖĞRENCİMİZE EĞİTİM VERDİK & WE PROVIDED TRAINING TO OUR STUDENT FROM BELARUS,2021-11-09 14:21:54+00:00,40492,720,0,Nov,2021
SOKAK ADAMININ SAÇINDAN ÇIKAN KİR?? & THE MAN LIVING ON THE STREET CLEANED HAIR (ASMR),2021-10-29 22:48:56+00:00,56349,694,0,Oct,2021
SAÇLARINDAN ÇOK SIKILMIŞ BİR HALDEYDİ!? (Manken Gibi Oldu) & HE WAS EXTREMELY BORED WITH HAIR!,2021-10-27 15:00:22+00:00,192222,2955,0,Oct,2021
YAŞLI AMCA DÜNYACA ÜNLÜ FUARDA MUHTEŞEM DEĞİŞİMİYLE SEYİRCİLERİ ŞOK ETTİ!!,2021-10-16 13:36:08+00:00,58052,1061,0,Oct,2021
KILDAN YÜZÜ GÖZÜ GÖRÜNMÜYODU!!? (BURUN DELİKLERİNE DOLARLA AĞDA YAPTIK..),2021-09-22 17:30:19+00:00,535550,5010,0,Sep,2021
SAÇI SAKALI KONTROLDEN ÇIKMIŞ BİR MİSAFİRE ACİL MÜDAHALEDE BULUNDUK!!?,2021-09-06 16:00:11+00:00,1329263,14238,0,Sep,2021
THE TRANSFORMATION OF THE MAN WE TAKING FROM THE STREET INTO AN NBA PLAYER!! & SOKAKTAN NBA'YE ?,2021-08-29 10:00:19+00:00,63745,1305,0,Aug,2021
SOKAKTAKİ HAYATLARIN DÖNÜŞÜMÜ!!? 2 (TIRAŞ SAHNESİ),2021-08-24 16:00:16+00:00,56465,1093,0,Aug,2021
"BU TIRAŞTAN SONRA ARABİSTANA UÇTU!! & AFTER THIS SHAVE, HE FLY TO ARABIA",2021-08-19 21:00:03+00:00,75003,1313,0,Aug,2021
YURT DIŞINDAN GELEN TURİSTİ TÜRK TIRAŞI YAPTIK!! (BIYIKLAR 1 METRE),2021-08-16 19:17:32+00:00,75258,1059,0,Aug,2021
SOKAKTAKİ HAYATLARIN DÖNÜŞÜMÜ!!? 2 & LA TRANSFORMACIÓN DE VIDAS EN LA CALLE 2,2021-07-17 16:00:05+00:00,407643,10429,0,Jul,2021
İŞİTME ENGELLİ KARDEŞİMİZİ SESSİZ TIRAŞ ETTİK!! & WE SHAVED OUR HEARING HANDICAPPED BROTHER SILENTLY,2021-07-12 15:33:33+00:00,68823,1351,0,Jul,2021
DAĞDA ÇOBANLIK YAPAN ADAMIN LÜKS DEĞİŞİMİ!!?,2021-07-08 14:00:06+00:00,733897,8605,0,Jul,2021
💈ASMR💈 BEARD SHAVING WITH A razor!! (TURKISH MASSAGE) & USTURAYLA SAKAL TIRAŞI!!?,2021-06-20 14:30:02+00:00,238973,2483,0,Jun,2021
SAÇIN YANLARINA 3 İŞLEM YAPTIK!!? (KESİM-BOYA-ÇİZİM) & We cut and dyed the sides of the hair,2021-05-09 12:27:01+00:00,227964,7136,0,May,2021
BAZI HAYATLARA İNCEDEN DOKUNMAK GEREKİR!!? & Some lives must be touched!,2021-04-25 14:53:55+00:00,154912,3279,0,Apr,2021
BÖYLE KAŞ RECEP İVEDİKTE BİLE YOK!!? (KAŞLARI ALINCA GÖZLER ORTAYA ÇIKTI..),2021-04-18 15:18:22+00:00,9386115,68093,0,Apr,2021
SON ZAMANLARDA KENDİSİNİ HİÇ BÖYLE GÖRMEMİŞ!!?,2021-04-11 15:39:57+00:00,82696,1763,0,Apr,2021
ÇOCUK ARABADA TIRAŞ OLURKEN SAÇLARINI YEDİ!!?,2021-04-04 14:02:29+00:00,42497,832,0,Apr,2021
CAMİ ÖNÜNDE MENDİL SATAN AMCANIN YENİ STİLİ!! & THE NEW STYLE OF THE MAN SELLING WIPES ON THE STREET,2021-03-28 19:00:10+00:00,4138365,38262,0,Mar,2021
HARABEDE YAŞAYAN ADAMI YEŞİLÇAMA GÖNDERDİKK!!?,2021-03-25 11:46:41+00:00,816174,13915,0,Mar,2021
SOKAKTAKİ HAYATLARIN DÖNÜŞÜMÜ!!? & LA TRANSFORMACIÓN DE VIDAS EN LA CALLE,2021-03-18 20:04:11+00:00,9716657,142628,0,Mar,2021
BABASI İSTEMEDİ KENDİ İSTEDİ!! (Haylaz Çocuk TIRAŞI..),2021-02-28 09:58:56+00:00,131358,2140,0,Feb,2021
ÖNCEKİ HALİYLE ARASINDA DAĞLAR KADAR FARK VAR!!?,2021-02-25 15:43:55+00:00,13639228,45104,0,Feb,2021
İŞİTME ENGELLİ İNŞAATÇI KARDEŞİMİZİN STİLİNİ YENİLEDİK & WE SHAVE OUR HEARING-IMPAIRED WORKER SISTER,2021-02-21 09:00:54+00:00,3801398,65031,0,Feb,2021
SOKAKTA YAŞAYAN ADAMIN BÜYÜK DEĞİŞİMİ 2 & GREAT CHANGE OF THE MAN LIVING IN THE STREET 2,2021-02-17 21:00:09+00:00,1511699,25029,0,Feb,2021
TIRAŞ OLMADAN ÖNCE BOYA ALÇI İŞİ YAPIYORDU ŞİMDİ DERGİ KAPAKLARINDAN İNMİYOR!!?,2021-02-13 11:52:20+00:00,474367,5340,0,Feb,2021
TÜRK NEYMARI BULDUK! KENDİSİNE AYNI SAÇ SAKAL MODELİ TASARLADIK!? & TURKISH NEYMAR HAIR MODEL,2021-01-31 10:09:13+00:00,43255,841,0,Jan,2021
TÜRK KILLI ADAMIN YÜZ TEMİZLİĞİ (RAHATLATICI) & HAIR IS OUT ON THE TURKISH MAN'S FACE (ASMR),2021-01-24 16:11:36+00:00,107576,1364,0,Jan,2021
KIZ ARKADAŞI HİÇ ACIMADAN SAÇINI SAKALINI KESTİ!!? & We cut my boyfriend's hair and beard!,2021-01-17 13:38:01+00:00,529719,4227,0,Jan,2021
SAÇA SAKALA UFAK DOKUNUŞLAR BÜYÜK İŞLER & SMALL TOUCHS TO THE HAIR BEARD GREAT WORKS,2021-01-06 15:10:38+00:00,65344,998,0,Jan,2021
YÜZ NAKLİ BİLE BU KADAR DEĞİŞTİREMEZDİ!!? & A MAN CANNOT CHANGE FACIAL TRANSPLANTATION THAT SO,2021-01-02 15:46:02+00:00,154625,1702,0,Jan,2021
TIRAŞTA AĞLAMAYAN ÇOCUK MU OLUR!!? (Bu yaşta Usturayla sakal tıraşı oldu!),2020-12-20 19:16:58+00:00,44380,611,0,Dec,2020
YÜZÜ DÖVMEDEN GÖZÜKMEYEN ADAMIN SAÇLARINI BOYADIK VE KESTİK!!? (EKİP ÇALIŞMASI),2020-12-12 19:59:42+00:00,26175,290,0,Dec,2020
SAÇLARDAN ÖNÜNÜ GÖREMİYORDU!!?,2020-12-05 17:19:31+00:00,357739,3441,0,Dec,2020
İNGİLTEREDEN GELEN FENOMEN İKİZ KARDEŞLER AYNI ANDA AYNI SAÇI KESTİRDİ!!? | ( Çizikli Model ),2020-11-29 19:25:09+00:00,13913,268,0,Nov,2020
BERBER HASRETİYLE YANIP TUTUŞAN ADAM!!? (Kendini Tanıyamayacak Hale Gelmişti.),2020-11-26 18:46:59+00:00,783061,7220,0,Nov,2020
Transforming to Kylian Mbappé / Mbappé Hair style . Kylian Mbappe’ye dönüşme / Mbappe Saç stili,2020-11-04 16:18:24+00:00,34282,472,0,Nov,2020
JUNİOR SERGİO RAMOS !!?,2020-10-27 12:06:45+00:00,201753,1170,0,Oct,2020
Bu Kız Çıldırmış Olmalı | Saçlarını Kısa Kestirmek İçin Ağladı!!?,2020-10-19 14:33:55+00:00,39513,439,0,Oct,2020
"Kadın Saçına Örgü Çalışması!!? (Yapım Aşamaları 1,2,3...)",2020-10-13 14:34:07+00:00,9814,152,0,Oct,2020
Rasta Ağacını Soyduk!!?,2020-10-07 20:18:53+00:00,22586,259,0,Oct,2020
Minik Ramço Yeni Saçlarıyla Büyük İşler Peşinde!!?,2020-10-03 20:30:46+00:00,14569,311,0,Oct,2020
Mucize Değişim 60’lık Moruk 30’luk Filinta Gibi Delikanlı Oldu!!?,2020-09-22 16:12:10+00:00,387208,4043,0,Sep,2020
Dilara Kaçmaz Eşinin Saçlarını Kesti!!?,2020-09-17 16:59:36+00:00,95845,1213,0,Sep,2020
Johnny Bravo Saç Modeli!! & Johnny Bravo Hairstyle,2020-09-15 16:01:06+00:00,49893,813,0,Sep,2020
Güneş Gibi Bir Saç Yaptık !!,2020-09-08 18:46:58+00:00,12989,139,0,Sep,2020
ERKEK ADAM BOYA YAPTIRIR MI ?,2020-09-04 20:05:25+00:00,8443,168,0,Sep,2020
"HIRSIZ GİBİ GELDİ MANKEN GİBİ GİTTİ!! | Came like a thief, got out like a model",2020-08-11 20:26:43+00:00,140563,1922,0,Aug,2020
6 AY BOYUNCA EVDEN ÇIKMAYAN ADAM NE HALE GELMİŞ!!? | HE HASNT GONE OUT FROM HOUSE FOR 6 MONTHS,2020-07-27 14:51:48+00:00,342140,3852,0,Jul,2020
İNGİLTEREDEN GELEN MİSAFİRİN SAÇI KESTİKÇE ALTINDAN BİRŞEYLER ÇIKIYO!!?,2020-07-25 11:39:17+00:00,19793,238,0,Jul,2020
KAŞ ERKEĞİN PÜF NOKTASI!!?,2020-07-09 13:55:43+00:00,50952,243,0,Jul,2020
KOKO FİRİYE KIŞKIRTMA! | SAÇ ÇIKARTAN  KREM!,2020-07-08 13:20:34+00:00,105996,1973,0,Jul,2020
ROCKÇI GELDİ POPÇU GİTTİ!!?,2020-07-05 14:54:47+00:00,901083,9189,0,Jul,2020
KENDİNİ GÖRÜNCE ADETA NUTKU TUTULDU!!?,2020-07-02 13:43:57+00:00,26458,436,0,Jul,2020
BATMAN DAN GELEN MÜŞTERİYE TAS TIRAŞ MODELİ YAPMAK!!?,2020-06-30 12:48:11+00:00,105411,1252,0,Jun,2020
HERŞEY DAHİL | ÖNCESİ ~ SONRASI | BEFORE ~ AFTER,2020-06-28 17:45:20+00:00,10959,171,0,Jun,2020
ÇILDIRDIK GECELİKLE SAÇ KESTİK!!? & we cut hair with bathrobe,2020-06-26 15:13:44+00:00,10111,206,0,Jun,2020
BİLAL SONSES SAÇLARI’NIN YANLARINA VEDA ETTİ!!?,2020-06-24 15:32:33+00:00,39536,436,0,Jun,2020
İNSANLIKTAN ÇIKMIŞ HALDEYDİ!!? & OUT OF HUMANITY!!?,2020-06-23 17:33:18+00:00,20821,373,0,Jun,2020
BU SAKALLARI KESEBİLECEK BİR SEN VARSIN DEDİ!!?,2020-06-22 11:03:30+00:00,574909,3896,0,Jun,2020
DÜNYANIN EN PAHALI USTURASI!? | (3999$ MÜCEVHER DOLU) & DIAMOND FILLED RAZOR!?,2020-06-20 16:31:48+00:00,8676,151,0,Jun,2020
BİR SAÇTA BU KADAR RENK GÖRÜLMEDİ!? | HER ŞEY GİDER RADİCAL COLOR!!,2020-06-19 10:16:11+00:00,8265,175,0,Jun,2020
NEREDEN NEREYE | NEYDİ NE OLDU!!,2020-06-12 16:37:26+00:00,17853,336,0,Jun,2020
HİNDİSTAN’DAN GELEN KARDEŞİMİZ BENİ DEĞİŞTİR DEDİ | SONUÇ!!?,2020-06-08 10:29:26+00:00,111020,1770,0,Jun,2020
DELİKANLI TIRAŞI!!,2020-06-03 15:48:32+00:00,40316,602,0,Jun,2020
DEĞİŞİME GELDİ VE DEĞİŞTİ!!? YAKARİ7 |,2020-06-01 16:18:43+00:00,19124,527,0,Jun,2020
BULUNMAYAN PARLAMENT MAVİSİYLE SAÇ BOYADIK!!?,2020-05-30 13:58:16+00:00,28078,648,0,May,2020
EZGİZEMİN SAÇLARI BOYADIK!!,2020-05-29 15:23:21+00:00,23863,669,0,May,2020
PERMATİKLE SAÇ SAKAL TEMİZLİĞİ!!?,2020-05-27 19:53:58+00:00,321353,3047,0,May,2020
EVSİZ ADAMIN MUHTEŞEM DEĞİŞİMİ!! & THE AMAZING CHANGE OF THE HOMELESS MAN!!,2020-05-25 15:11:38+00:00,57372,871,0,May,2020
TEK PARMAKLA SAÇ KESEN ADAM & Hair cut with one finger!!,2020-05-23 15:44:34+00:00,63755,1156,0,May,2020
JUSTİN BİEBER SAÇ MODELİ & JUSTİN BİEBER HAIR STYLE,2020-05-21 12:17:22+00:00,49313,894,0,May,2020
KARSLI OLDU TEXASLI!?,2020-05-19 11:42:24+00:00,43945,602,0,May,2020
MARUL KAFAYLA BİRLİKTE İSMAİL AMCANIN SAÇLARI KESTİK!!?,2020-05-18 15:25:07+00:00,15172,347,0,May,2020
SOKAKTA YAŞAYAN ADAMIN BÜYÜK DEĞİŞİMİ!? & GREAT CHANGE OF THE MAN LIVING IN THE STREET!?,2020-05-17 13:01:27+00:00,1633524,34388,0,May,2020
MASKELİ KESİM ÇOK ZOR OLDU!! BU VİRÜS BİZİ NE HALE SOKTU!?,2020-05-14 14:56:39+00:00,24016,362,0,May,2020
KARANTİNADA KARDEŞİMİ SAÇ SAKAL TIRAŞ ETTİM!!? (Sonunda Süpriz Var),2020-04-24 17:57:01+00:00,59628,1015,0,Apr,2020
En iyi berber videoları 2 & Best barber videos 2,2020-04-17 15:28:53+00:00,63514,581,0,Apr,2020
best barber videos & en iyi berber videoları,2020-04-16 16:15:07+00:00,13721,207,0,Apr,2020
Evde Babamın Pembe Saçlarını Jiletle Kazıdık!!?,2020-04-14 11:59:05+00:00,70467,886,0,Apr,2020
EVDE BABAMIN SAÇINI PEMBEYE BOYADIK!!?,2020-04-09 20:36:11+00:00,45674,586,0,Apr,2020
Babama Evde İp Kullanmasını Öğrettim Kaşlarımı Aldı!? #Evdekal,2020-04-06 12:47:51+00:00,14357,272,0,Apr,2020
Sakallar İçin Taş Kağıt Makas Oynadık!? & We Played Rock Paper Scissors For The Beards!?,2020-03-21 13:30:09+00:00,5272431,38532,0,Mar,2020
Asena Veysel’in Saçlarının İçinden Geçti!!,2020-03-19 17:54:02+00:00,134201,2459,0,Mar,2020
"Otobüs Şoförüydü 2 Ayda Berber Yaptık!? (Eğitim) & He was a bus driver, we made a barber in 2 months",2020-03-08 21:11:00+00:00,25278,413,0,Mar,2020
Makas Kesmedi Bizde Usturayla Kestik!!?,2020-03-04 12:25:34+00:00,40904,683,0,Mar,2020
What Lies Under Big Hair!? & Koca Saçların Altında Neler Yatıyor!!?,2020-02-27 10:22:42+00:00,23294,387,0,Feb,2020
Berber Makası ASMR!!? & Barber Scissors ASMR!!?,2020-02-21 15:07:24+00:00,14083,97,0,Feb,2020
Ceren Yaldız’ın Çocukluk Hayali!!?,2020-02-20 12:30:10+00:00,11096,131,0,Feb,2020
TECRÜBE ABİDESİ KADIN SAÇLARIMA PERMA YAPIYOR!!,2020-02-19 11:24:17+00:00,11276,186,0,Feb,2020
Dünya’nın En Hızlı Traşı!!? (15 Dakika 45 Saniyede Kesti) & World's Fastest Shave!!?,2020-02-09 10:59:54+00:00,13986,191,0,Feb,2020
Adamı Sokaktan Alıp Yeni İmaj Tasarladık & We took the man from the street and designed a new image,2020-02-07 13:24:27+00:00,296057,2819,0,Feb,2020
BOL SARIMSAKLI İŞKEMBE ÇORBASI İÇİP TRAŞ ETTİK!!? (Komik Tepkiler..),2020-01-31 15:00:04+00:00,30067,433,0,Jan,2020
Delikli Bone İle Saç Boyama!!?,2020-01-30 17:47:57+00:00,17225,133,0,Jan,2020
Yanları Al Üstler Kalsın Saç Modeli!!?,2020-01-27 15:32:08+00:00,25095,191,0,Jan,2020
LACASA DE PAPEL TOKYO SAÇ MODELİ!!?,2020-01-25 18:44:49+00:00,16029,188,0,Jan,2020
Pırasa Gibi Geldi Marul Gibi Çıktı!!?,2020-01-23 09:47:37+00:00,10345,106,0,Jan,2020
10 Dakikada 2 Yıllık Saça Perma Yaptık!!?,2020-01-22 17:33:13+00:00,14003,162,0,Jan,2020
Uzun Saçlardan Sıkıldı Ve Kestirdi!!? (Sonu acayip oldu.),2020-01-21 17:44:27+00:00,392472,3521,0,Jan,2020
AŞIRI RAHATLATICI SAÇ KIZARTMA VE KESİM!!?,2020-01-19 18:15:23+00:00,89479,1706,0,Jan,2020
Bu Saçı Yaptırdıktan Sonra Yurt Dışına Kaçtı!!?,2020-01-16 11:30:32+00:00,23143,355,0,Jan,2020
Dilara Kaçmaz and Asena Kızılarslan Düello!!?(birbirini yaktılar),2020-01-14 11:15:00+00:00,159182,932,0,Jan,2020
Kadın Gibi Geldi Erkek Gibi Gitti!!?,2020-01-08 09:39:39+00:00,115841,938,0,Jan,2020
Saçları Gri Yaptık Üstüde Rengarenk Oldu!!?,2020-01-05 13:01:28+00:00,10385,121,0,Jan,2020
Yeni Tarzını Görünce Çok Mutlu Oldu!!?,2020-01-04 09:56:36+00:00,128700,1295,0,Jan,2020
Yüzüne Ağda Yaparken Derisi Kalktı!!?,2019-12-29 16:51:09+00:00,3000256,33782,0,Dec,2019
2020 Yılının En Yakışıklı Modeli Üzerinde Eğitim!!?,2019-12-27 15:43:57+00:00,418780,4465,0,Dec,2019
Aile Boyu Değişim!!?,2019-12-24 20:21:51+00:00,21826,293,0,Dec,2019
Dünya Güzelinin Kulakları Temiz Çıktı!?,2019-12-23 14:52:46+00:00,13551,135,0,Dec,2019
Parayı Ödeyemedi Bizde Saçlarını Aldık!!? (Sad Ending One),2019-12-22 15:59:29+00:00,26322,501,0,Dec,2019
Bu Saçlara Babası Ne Dedi!!?,2019-12-19 18:06:02+00:00,83589,1122,0,Dec,2019
Havuç Kafa Bonus Kafa Oldu!?,2019-12-13 13:53:19+00:00,1136674,11141,0,Dec,2019
Dev Gibi Saçlar Cüce Gibi Kaldı!?,2019-12-10 12:39:49+00:00,282834,2629,0,Dec,2019
Olmayan Saçlarını Zorla Kestirdi!?,2019-12-08 13:17:23+00:00,168293,1692,0,Dec,2019
Kel Geldi Saçlı Gitti!?,2019-12-06 18:48:00+00:00,414435,5129,0,Dec,2019
Bedelli Askerliğe Bedelini Ödeyip Gitti!?,2019-12-05 18:02:54+00:00,242289,2151,0,Dec,2019
Siyahi Adam Beyaz Oldu!?,2019-11-29 16:16:15+00:00,7560,178,0,Nov,2019
Bu Saçları Elinden Aldık!?,2019-11-25 12:34:50+00:00,26649,304,0,Nov,2019
